"pile_id","station_id","label","network","connector_type","power_kw","price_per_kwh","deployment_stage","operational_state","is_synthetic","synthetic_fields","source_name","source_station_record_id","dataset"
"mevnet-211-pile-001","mevnet-211","Bay 01","ParkEasy","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","211","demo"
"mevnet-211-pile-002","mevnet-211","Bay 02","ParkEasy","Type 2","11","0.9","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","211","demo"
"mevnet-768-pile-001","mevnet-768","Bay 01","Gentari","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","768","demo"
"mevnet-768-pile-002","mevnet-768","Bay 02","Gentari","Type 2","11","0.9","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","768","demo"
"mevnet-768-pile-003","mevnet-768","Bay 03","Gentari","CCS2","120","1.5","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","768","demo"
"mevnet-770-pile-001","mevnet-770","Bay 01","Shell Recharge","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","770","demo"
"mevnet-770-pile-002","mevnet-770","Bay 02","Shell Recharge","Type 2","11","0.9","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","770","demo"
"mevnet-770-pile-003","mevnet-770","Bay 03","Shell Recharge","Type 2","22","1.05","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","770","demo"
"mevnet-770-pile-004","mevnet-770","Bay 04","Shell Recharge","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","770","demo"
"mevnet-783-pile-001","mevnet-783","Bay 01","chargEV","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","783","demo"
"mevnet-783-pile-002","mevnet-783","Bay 02","chargEV","Type 2","11","0.9","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","783","demo"
"mevnet-783-pile-003","mevnet-783","Bay 03","chargEV","CCS2","120","1.5","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","783","demo"
"mevnet-783-pile-004","mevnet-783","Bay 04","chargEV","CCS2","180","1.65","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","783","demo"
